Chain Name,Chain ID,Main RPC Option,Type
FIRMACHAIN,colosseum-1,https://firma.rpc.m.stavr.tech/,cosmos
Pundi AIFX,fxcore,https://functionx.rpc.nodeshub.online/,cosmos
Wormhole Gateway,wormchain,https://wormchain-mainnet-1-full.tm.p2p.org/,cosmos
GenesisL1,genesis_29-2,https://26657.genesisl1.org/,cosmos
Gitopia,gitopia,https://gitopia-rpc.stakeangle.com/,cosmos
Gonka,gonka-mainnet,https://node2.gonka.ai:8443/chain-rpc/,cosmos
Gravity Bridge,gravity-bridge-3,https://gravity-rpc.polkachu.com/,cosmos
Haqq Network,haqq_11235-1,https://rpc.haqq.nodestake.org/,cosmos
Hippo Protocol,hippo-protocol-1,https://hippo-mainnet-rpc.shazoes.xyz/,cosmos
Humans.ai,humans_1089-1,http://65.21.46.90:5657/,cosmos
Impact Hub,ixo-5,https://impacthub.ixo.world/rpc/,cosmos
Initia,interwoven-1,https://rpc.initia.xyz/,cosmos
Injective,injective-1,https://injective-rpc.polkachu.com/,cosmos
Int3face,int3face-1,https://rpc.mainnet.int3face.zone/,cosmos
Intento,intento-1,https://rpc-mainnet.intento.zone/,cosmos
IRISnet,irishub-1,https://mainnet-iris-rpc.konsortech.xyz/,cosmos
Jackal,jackal-1,https://m-jackal.rpc.utsa.tech/,cosmos
Juno,juno-1,https://juno-rpc.stakeandrelax.net/,cosmos
Kava,kava_2222-10,https://rpc.kava.nodestake.org/,cosmos
Ki,kichain-2,https://kichain-rpc.polkachu.com/,cosmos
KiiChain,kiichain_1783-1,https://rpc.kiivalidator.com/,cosmos
Kopi,luwak-1,https://kopi-rpc.polkachu.com/,cosmos
Kujira,kaiyo-1,https://kujira-rpc.polkachu.com/,cosmos
KYVE,kyve-1,https://kyve.rpc.liveraven.net/,cosmos
Lava,lava-mainnet-1,https://rpc-lava.vinjan-inc.com/,cosmos
LikeCoin,likecoin-mainnet-2,https://mainnet-node.like.co/rpc/,cosmos
Loop,loop-1,https://rpc.loop.pfc.zone/,cosmos
Loyal,loyal-main-02,https://loyal-rpc.polkachu.com/,cosmos
Lumera,lumera-mainnet-1,https://lumera-rpc.linknode.org/,cosmos
Lum Network,lum-network-1,https://lum-rpc.stakerhouse.com/,cosmos
Manifest,manifest-ledger-mainnet,https://nodes.liftedinit.app/manifest/rpc/,cosmos
MANTRA,mantra-1,https://mantra-mainnet-rpc.itrocket.net/,cosmos
Maya Protocol,mayachain-mainnet-v1,https://tendermint.mayachain.info/,cosmos
Medas Digital Network,medasdigital-2,https://rpc.medas-digital.io:26657/,cosmos
MEME,meme-1,https://meme-rpc.polkachu.com/,cosmos
MilkyWay,milkyway,https://rpc.mainnet.milkyway.zone/,cosmos
Mirage,mirage-1,https://mirage.talk/chain/rpc/,cosmos
mtgbp,mtgbp-1,https://rpc.mtgbp.com/,cosmos
Neutaro,Neutaro-1,https://rpc3.neutaro.io/,cosmos
Neutron,neutron-1,https://rpc.neutron.quokkastake.io/,cosmos
Nibiru,cataclysm-1,https://nibiru.rpc.liveraven.net/,cosmos
Nillion,nillion-1,https://rpc.nillion.nodestake.org/,cosmos
Noble,noble-1,https://noble-rpc.owallet.io/,cosmos
Nolus,pirin-1,https://nolus.rpc.liveraven.net/,cosmos
Nomic,nomic-stakenet-3,https://nomic-rpc.polkachu.com/,cosmos
Nym,nyx,https://rpc.nymtech.net/,cosmos
OKExChain,exchain-66,https://exchaintmrpc.okex.org/,cosmos
OmniFlix,omniflixhub-1,https://omniflix-rpc.dakshavalidator.in/,cosmos
Optio,optio,https://rpc.optio.zone/,cosmos
Oraichain,Oraichain,https://rpc.orai.pfc.zone/,cosmos
Osmosis,osmosis-1,https://rpc.osmosis.citizenweb3.com/,cosmos
Paloma,tumbler,https://rpc-1.paloma.nodes.guru/,cosmos
Medibloc,panacea-3,https://rpc.gopanacea.org/,cosmos
Passage,passage-2,https://passage-rpc.polkachu.com/,cosmos
Paxi,paxi-mainnet,https://rpc.paxi.indonode.net/,cosmos
Persistence,core-1,https://public.stakewolle.com/cosmos/persistence/rpc/,cosmos
Planq,planq_7070-2,https://rpc.planq.nodestake.org/,cosmos
Pocket Network,pocket,https://shannon-grove-rpc.mainnet.poktroll.com/,cosmos
Provenance,pio-mainnet-1,https://provenance-rpc.panthea.eu/,cosmos
Pryzm,pryzm-1,https://rpc.pryzm.zone/,cosmos
Pundi X Chain,PUNDIX,https://px-json.pundix.com/,cosmos
Quantum Financial Systems,qfs-1,https://rpc.qfsone.com/,cosmos
Qubetics,qubetics_9030-1,https://jblfg.org/,cosmos
Quicksilver,quicksilver-2,http://quick.rpc.m.stavr.tech:21027/,cosmos
Qwoyn,qwoyn-1,https://qwoyn.rpc.m.stavr.tech/,cosmos
Realio Network,realionetwork_3301-1,https://realio-rpc.genznodes.dev/,cosmos
Rebus,reb_1111-1,https://rebus.rpc.liveraven.net/,cosmos
Regen,regen-1,https://rpc-regen.ecostake.com/,cosmos
Saga,ssc-1,https://saga-rpc.stakeandrelax.net/,cosmos
SEDA,seda-1,https://rpc.seda.tcnetwork.io/,cosmos
Sentinel,sentinelhub-2,https://rpc-sentinel.chainvibes.com/,cosmos
Shentu,shentu-2.2,https://shentu.api.pocket.network/,cosmos
Shido,shido_9008-1,https://rpc.shidoscan.net/,cosmos
Sifchain,sifchain-1,https://sifchain-rpc.polkachu.com/,cosmos
SIX Protocol,sixnet,https://sixnet-rpc.sixprotocol.net/,cosmos
Sommelier,sommelier-3,https://somm.rpc.m.stavr.tech/,cosmos
Source,source-1,https://rpc.source.tcnetwork.io/,cosmos
Stargaze,stargaze-1,https://stargaze-rpc.stakerhouse.com/,cosmos
STO Chain,stoc,https://rpc-stoc-mainnet.stochainscan.io/,cosmos
Stratos,stratos-1,https://rpc.stratos.nodestake.org/,cosmos
Stride,stride-1,https://public.stakewolle.com/cosmos/stride/rpc/,cosmos
Sunrise,sunrise-1,https://rpc-sunrise.veriznode.xyz/,cosmos
Symphony,symphony-1,https://rpc-m.symphony.vinjan-inc.com/,cosmos
Synternet,synternet-1,https://rpc.synternet.com/,cosmos
TakeTitan,taketitan-1,https://rpc.taketitan.com/,cosmos
Teritori,teritori-1,https://teritori-rpc.polkachu.com/,cosmos
Terp-Network,morocco-1,https://terp-mainnet-rpc.itrocket.net/,cosmos
Terra Classic,columbus-5,https://terraclassic-rpc-server-01.stakely.io/,cosmos
Terra,phoenix-1,https://terra2.tdrsys.com:2053/,cosmos
UX Chain,umee-1,https://rpc-umee.mzonder.com/,cosmos
Unification,FUND-MainNet-2,https://rpc.unification.io/,cosmos
Union,union-1,https://union-rpc.polkachu.com/,cosmos
UnUniFi,ununifi-beta-v1,http://a.lcd.ununifi.cauchye.net:26657/,cosmos
Uptick,uptick_117-1,https://m-uptick.rpc.utsa.tech/,cosmos
Warden,warden_8765-1,https://rpc.wardenprotocol.org/,cosmos
XarChain Coral,xarchain,https://cosmos01-testnet.arcana.network:26650/,cosmos
Xion,xion-mainnet-1,https://xion-rpc.polkachu.com/,cosmos
XPLA,dimension_37-1,https://dimension-rpc.xpla.dev/,cosmos
XRPL EVM,xrplevm_1440000-1,https://rpc.xrpl.cumulo.org.es/,cosmos
Zenrock Mainnet,diamond-1,https://rpc.diamond.zenrocklabs.io/,cosmos
ZetaChain,zetachain_7000-1,https://zetachain.blockpi.network/rpc/v1/public/,cosmos
ZIGChain,zigchain-1,https://public-zigchain-rpc.numia.xyz/,cosmos
